area_code,inflow,outflow,net,age_band,year
E06000032,10905.0,17837.0,-6932.0,All ages,2024
E06000033,10129.0,9557.0,572.0,All ages,2024
E06000034,9982.0,10583.0,-601.0,All ages,2024
E06000035,15814.0,15826.0,-12.0,All ages,2024
E06000036,8350.0,8048.0,302.0,All ages,2024
E06000037,9208.0,9069.0,139.0,All ages,2024
E06000038,15873.0,19099.0,-3226.0,All ages,2024
E06000039,10102.0,13074.0,-2972.0,All ages,2024
E06000040,11130.0,10817.0,313.0,All ages,2024
E06000041,12919.0,12473.0,446.0,All ages,2024
E06000042,15676.0,15325.0,351.0,All ages,2024
E06000043,25933.0,26838.0,-905.0,All ages,2024
E06000044,12765.0,18284.0,-5519.0,All ages,2024
E06000045,18088.0,21138.0,-3050.0,All ages,2024
E06000046,4895.0,4235.0,660.0,All ages,2024
E06000047,27750.0,25377.0,2373.0,All ages,2024
E06000049,20058.0,15735.0,4323.0,All ages,2024
E06000050,19076.0,16424.0,2652.0,All ages,2024
E06000051,15228.0,12536.0,2692.0,All ages,2024
E06000052,25065.0,19948.0,5117.0,All ages,2024
E06000053,405.0,466.0,-61.0,All ages,2024
E06000054,25297.0,22502.0,2795.0,All ages,2024
E06000055,10726.0,9919.0,807.0,All ages,2024
E06000056,20204.0,16233.0,3971.0,All ages,2024
E06000057,13591.0,9857.0,3734.0,All ages,2024
E06000058,23842.4,24636.4,-794.0,All ages,2024
E06000059,21420.5,16670.5,4750.0,All ages,2024
E06000060,33077.2,29155.2,3922.0,All ages,2024
E06000061,17404.1,13891.1,3513.0,All ages,2024
E06000062,20938.4,22666.4,-1728.0,All ages,2024
E06000063,8847.8,6808.8,2039.0,All ages,2024
